,Serie,Date,Value
0,Event-Event-NA-NA-Non Partner-Registrations,2023-01-12,53.0
1,Event-Event-NA-NA-Non Partner-Spend,2023-01-12,0.0
2,Event-Event-NA-NA-Non Partner-Views,2023-01-12,0.0
3,Event-Event-NA-NA-Non Partner-Registrations,2023-01-19,13.0
4,Event-Event-NA-NA-Non Partner-Spend,2023-01-19,0.0
5,Event-Event-NA-NA-Non Partner-Views,2023-01-19,0.0
6,Event-Event-NA-NA-Non Partner-Registrations,2023-01-26,27.0
7,Event-Event-NA-NA-Non Partner-Spend,2023-01-26,0.0
8,Event-Event-NA-NA-Non Partner-Views,2023-01-26,0.0
9,Event-Event-NA-NA-Non Partner-Registrations,2023-02-09,29.0
10,Event-Event-NA-NA-Non Partner-Spend,2023-02-09,0.0
11,Event-Event-NA-NA-Non Partner-Views,2023-02-09,0.0
12,Event-Event-NA-NA-Partner-Registrations,2023-02-09,160.0
13,Event-Event-NA-NA-Partner-Spend,2023-02-09,0.0
14,Event-Event-NA-NA-Partner-Views,2023-02-09,0.0
15,Event-Event-NA-NA-Non Partner-Registrations,2023-02-23,66.0
16,Event-Event-NA-NA-Non Partner-Spend,2023-02-23,0.0
17,Event-Event-NA-NA-Non Partner-Views,2023-02-23,0.0
18,Event-Event-NA-NA-Non Partner-Registrations,2023-03-02,33.0
19,Event-Event-NA-NA-Non Partner-Spend,2023-03-02,0.0
20,Event-Event-NA-NA-Non Partner-Views,2023-03-02,0.0
21,Event-Event-NA-NA-Non Partner-Registrations,2023-03-08,70.0
22,Event-Event-NA-NA-Non Partner-Spend,2023-03-08,0.0
23,Event-Event-NA-NA-Non Partner-Views,2023-03-08,0.0
24,Event-Event-NA-NA-Non Partner-Registrations,2023-03-09,47.0
25,Event-Event-NA-NA-Non Partner-Spend,2023-03-09,0.0
26,Event-Event-NA-NA-Non Partner-Views,2023-03-09,0.0
27,Event-Event-NA-NA-Partner-Registrations,2023-03-14,23.0
28,Event-Event-NA-NA-Partner-Spend,2023-03-14,0.0
